id,name,artist,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,cluster_label
0AAssPQFl1efEmOARQP7VC,Ruka Ruka,Shalmali Kholgade,['bollywood'],0.37,0.48,0,-7.116,1,0.04,0.755,0.0,0.102,0.164,76.461,243947,4,1,Dance Party
0AJFxVifSLQNiOw67GMrN6,Oh Humnasheen,Yasser Desai,['bollywood'],0.566,0.678,6,-6.571,1,0.0361,0.613,0.0,0.192,0.648,75.947,338092,4,2,Instrumental Calm
0AOvD8LrdeDVDaLzSB7YsM,Perfect,Ed Sheeran,[],0.3,0.245,7,-12.223,1,0.0429,0.962,0.902,0.115,0.496,96.813,224803,3,4,Rap / Spoken
0Aj9mjOpjS2TbgSB6sdXNo,Running,Dua Lipa,[],0.62,0.694,10,-3.739,0,0.0311,0.0178,0.0,0.19,0.319,98.002,221947,4,2,Instrumental Calm
0AmjoOwf1G8MB8SEG1AOGi,Colors,Jason Derulo,[],0.717,0.859,8,-4.514,1,0.205,0.0435,0.0,0.0625,0.546,119.847,199728,4,2,Instrumental Calm
0AnTjDQQd2RIzdUni6e0Vg,Saweray Saweray,Sabri Brothers,['qawwali'],0.357,0.395,1,-13.211,1,0.0561,0.959,1.25e-06,0.113,0.454,90.65,485707,4,1,Dance Party
0ApAtUKKCBzyVxwMJA2OQS,Re Mann Sai Naam Tu Bhaj Le,Anuradha Paudwal,['ghazal'],0.436,0.412,7,-8.422,1,0.03,0.97,4.23e-06,0.146,0.524,81.901,421158,4,1,Dance Party
0ApkFFU362NocXTexqWPYn,Sunshine,Sia,[],0.357,0.831,6,-3.99,0,0.0586,0.0881,0.0,0.0629,0.607,137.864,205987,5,0,Energetic Happy
0B2SJiOgkAYdGrJcdwNcyf,Dwar Dwar Hoon Bhatki Maiya,Anuradha Paudwal,['ghazal'],0.497,0.537,0,-8.477,0,0.0331,0.856,1.41e-06,0.351,0.863,89.09,309107,4,1,Dance Party
0B4cxZYTAHDBVXehznSHXy,Door Door Rehnde O,Hans Raj Hans,['sufi'],0.468,0.789,2,-9.859,1,0.0394,0.366,0.00161,0.0816,0.907,85.692,391800,4,0,Energetic Happy
0B7mTh64XSx5myv1BwlMmH,Tell Me You Love Me - Recorded at Spotify Studios NYC,Demi Lovato,[],0.563,0.554,3,-7.181,0,0.0371,0.269,0.0,0.379,0.315,82.043,247360,4,2,Instrumental Calm
0BJ9uj0yoajRmKtSaqiaXo,Sukhan Tenu Labhna Aen,Nusrat Fateh Ali Khan,['sufi'],0.341,0.884,5,-7.794,0,0.218,0.876,3.97e-06,0.917,0.557,108.715,884516,4,0,Energetic Happy
0BMECA4oSHxXNAe3uMgCE1,Om Jai Lakshmi Mata Aarti,Anuradha Paudwal,['ghazal'],0.529,0.732,6,-6.097,1,0.0488,0.232,0.0,0.235,0.95,95.689,309428,4,0,Energetic Happy
0BQGTFa3ofZcsTARjFMEXG,"Snehidhane, Pt. 2",Sadhana Sargam,['bollywood'],0.77,0.345,8,-14.694,1,0.0403,0.359,1.42e-06,0.0707,0.496,104.032,293987,4,1,Dance Party
